latence_ms
40
45
45
50
35
40
40
35
40
60
40
50
35
50
35
30
45
35
35
35
30
40
35
40
40
35
35
40
35
40
45
40
40
45
50
35
45
45
35
40
50
50
35
50
35
50
50
35
35
30
40
35
45
40
40
35
45
35
35
35
50
50
40
25
35
35
35
45
30
45
45
40
40
45
35
50
40
35
35
